Sporici ucet, rocni urokova mira 5.61 %
Stav uctu na zacatku roku 2024 je 10000.00
-------------------------------------------

------------ 1. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 1.2024 | 10000.00 | 1.54 | 100.00
 2. 1.2024 | 10001.54 | 1.54 | 100.00
 3. 1.2024 | 10003.07 | 1.54 | 100.00
 4. 1.2024 | 10004.61 | 1.54 | 100.00
 5. 1.2024 | 10006.15 | 1.54 | 100.00
 6. 1.2024 | 10007.69 | 1.54 | 100.00
 7. 1.2024 | 10009.23 | 1.54 | 100.00
 8. 1.2024 | 10010.76 | 1.54 | 100.00
 9. 1.2024 | 10012.30 | 1.54 | 100.00
10. 1.2024 | 10013.84 | 1.54 | 100.00
11. 1.2024 | 10015.38 | 1.54 | 100.00
12. 1.2024 | 10016.92 | 1.54 | 100.00
13. 1.2024 | 10018.46 | 1.54 | 100.00
14. 1.2024 | 10020.00 | 1.54 | 100.00
15. 1.2024 | 10021.54 | 1.54 | 100.00
16. 1.2024 | 10123.08 | 1.56 | 100.00
17. 1.2024 | 10124.64 | 1.56 | 100.00
18. 1.2024 | 10126.19 | 1.56 | 100.00
19. 1.2024 | 10127.75 | 1.56 | 100.00
20. 1.2024 | 10129.30 | 1.56 | 100.00
21. 1.2024 | 10130.86 | 1.56 | 100.00
22. 1.2024 | 10132.42 | 1.56 | 100.00
23. 1.2024 | 10133.98 | 1.56 | 100.00
24. 1.2024 | 10135.53 | 1.56 | 100.00
25. 1.2024 | 10137.09 | 1.56 | 100.00
26. 1.2024 | 10138.65 | 1.56 | 100.00
27. 1.2024 | 10140.21 | 1.56 | 100.00
28. 1.2024 | 10141.77 | 1.56 | 100.00
29. 1.2024 | 10143.32 | 1.56 | 100.00
30. 1.2024 | 10144.88 | 1.56 | 100.00
31. 1.2024 | 10146.44 | 1.56 | 100.00
----------------------------------

------------ 2. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 2.2024 | 10148.00 | 1.56 | 100.00
 2. 2.2024 | 10149.56 | 1.56 | 100.00
 3. 2.2024 | 10151.12 | 1.56 | 100.00
 4. 2.2024 | 10152.68 | 1.56 | 100.00
 5. 2.2024 | 10154.24 | 1.56 | 100.00
 6. 2.2024 | 10155.80 | 1.56 | 100.00
 7. 2.2024 | 10157.36 | 1.56 | 100.00
 8. 2.2024 | 10158.92 | 1.56 | 100.00
 9. 2.2024 | 10160.49 | 1.56 | 100.00
10. 2.2024 | 10162.05 | 1.56 | 100.00
11. 2.2024 | 10163.61 | 1.56 | 100.00
12. 2.2024 | 10165.17 | 1.56 | 100.00
13. 2.2024 | 10166.73 | 1.56 | 100.00
14. 2.2024 | 10168.30 | 1.56 | 100.00
15. 2.2024 | 10169.86 | 1.56 | 100.00
16. 2.2024 | 10271.42 | 1.58 | 100.00
17. 2.2024 | 10273.00 | 1.58 | 100.00
18. 2.2024 | 10274.58 | 1.58 | 100.00
19. 2.2024 | 10276.16 | 1.58 | 100.00
20. 2.2024 | 10277.74 | 1.58 | 100.00
21. 2.2024 | 10279.32 | 1.58 | 100.00
22. 2.2024 | 10280.90 | 1.58 | 100.00
23. 2.2024 | 10282.48 | 1.58 | 100.00
24. 2.2024 | 10284.06 | 1.58 | 100.00
25. 2.2024 | 10285.64 | 1.58 | 100.00
26. 2.2024 | 10287.22 | 1.58 | 100.00
27. 2.2024 | 10288.80 | 1.58 | 100.00
28. 2.2024 | 10290.38 | 1.58 | 100.00
29. 2.2024 | 10291.97 | 1.58 | 100.00
----------------------------------

------------ 3. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 3.2024 | 10293.55 | 1.58 | 100.00
 2. 3.2024 | 10295.13 | 1.58 | 100.00
 3. 3.2024 | 10296.71 | 1.58 | 100.00
 4. 3.2024 | 10298.29 | 1.58 | 100.00
 5. 3.2024 | 10299.88 | 1.58 | 100.00
 6. 3.2024 | 10301.46 | 1.58 | 100.00
 7. 3.2024 | 10303.04 | 1.58 | 100.00
 8. 3.2024 | 10304.63 | 1.58 | 100.00
 9. 3.2024 | 10306.21 | 1.58 | 100.00
10. 3.2024 | 10307.80 | 1.58 | 100.00
11. 3.2024 | 10309.38 | 1.58 | 100.00
12. 3.2024 | 10310.96 | 1.58 | 100.00
13. 3.2024 | 10312.55 | 1.59 | 100.00
14. 3.2024 | 10314.13 | 1.59 | 100.00
15. 3.2024 | 10315.72 | 1.59 | 100.00
16. 3.2024 | 10417.31 | 1.60 | 100.00
17. 3.2024 | 10418.91 | 1.60 | 100.00
18. 3.2024 | 10420.51 | 1.60 | 100.00
19. 3.2024 | 10422.11 | 1.60 | 100.00
20. 3.2024 | 10423.71 | 1.60 | 100.00
21. 3.2024 | 10425.31 | 1.60 | 100.00
22. 3.2024 | 10426.92 | 1.60 | 100.00
23. 3.2024 | 10428.52 | 1.60 | 100.00
24. 3.2024 | 10430.12 | 1.60 | 100.00
25. 3.2024 | 10431.73 | 1.60 | 100.00
26. 3.2024 | 10433.33 | 1.60 | 100.00
27. 3.2024 | 10434.93 | 1.60 | 100.00
28. 3.2024 | 10436.54 | 1.60 | 100.00
29. 3.2024 | 10438.14 | 1.60 | 100.00
30. 3.2024 | 10439.75 | 1.60 | 100.00
31. 3.2024 | 10441.35 | 1.60 | 100.00
----------------------------------

------------ 4. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 4.2024 | 10442.95 | 1.61 | 100.00
 2. 4.2024 | 10444.56 | 1.61 | 100.00
 3. 4.2024 | 10446.17 | 1.61 | 100.00
 4. 4.2024 | 10447.77 | 1.61 | 100.00
 5. 4.2024 | 10449.38 | 1.61 | 100.00
 6. 4.2024 | 10450.98 | 1.61 | 100.00
 7. 4.2024 | 10452.59 | 1.61 | 100.00
 8. 4.2024 | 10454.20 | 1.61 | 100.00
 9. 4.2024 | 10455.80 | 1.61 | 100.00
10. 4.2024 | 10457.41 | 1.61 | 100.00
11. 4.2024 | 10459.02 | 1.61 | 100.00
12. 4.2024 | 10460.62 | 1.61 | 100.00
13. 4.2024 | 10462.23 | 1.61 | 100.00
14. 4.2024 | 10463.84 | 1.61 | 100.00
15. 4.2024 | 10465.45 | 1.61 | 100.00
16. 4.2024 | 10567.06 | 1.62 | 100.00
17. 4.2024 | 10568.68 | 1.62 | 100.00
18. 4.2024 | 10570.30 | 1.62 | 100.00
19. 4.2024 | 10571.93 | 1.62 | 100.00
20. 4.2024 | 10573.55 | 1.63 | 100.00
21. 4.2024 | 10575.18 | 1.63 | 100.00
22. 4.2024 | 10576.80 | 1.63 | 100.00
23. 4.2024 | 10578.43 | 1.63 | 100.00
24. 4.2024 | 10580.06 | 1.63 | 100.00
25. 4.2024 | 10581.68 | 1.63 | 100.00
26. 4.2024 | 10583.31 | 1.63 | 100.00
27. 4.2024 | 10584.94 | 1.63 | 100.00
28. 4.2024 | 10586.56 | 1.63 | 100.00
29. 4.2024 | 10588.19 | 1.63 | 100.00
30. 4.2024 | 10589.82 | 1.63 | 100.00
----------------------------------

------------ 5. MESIC ------------
 Datum  | Stav uctu | Urok(Kc) | Vklad tento měsíc
-----------------------------------
 1. 5.2024 | 10591.44 | 1.63 | 100.00
 2. 5.2024 | 10593.07 | 1.63 | 100.00
 3. 5.2024 | 10594.70 | 1.63 | 100.00
 4. 5.2024 | 10596.33 | 1.63 | 100.00
 5. 5.2024 | 10597.96 | 1.63 | 100.00
 6. 5.2024 | 10599.59 | 1.63 | 100.00
 7. 5.2024 | 10601.21 | 1.63 | 100.00
 8. 5.2024 | 10602.84 | 1.63 | 100.00
 9. 5.2024 | 10604.47 | 1.63 | 100.00
10. 5.2024 | 10606.10 | 1.63 | 100.00
11. 5.2024 | 10607.73 | 1.63 | 100.00
12. 5.2024 | 10609.36 | 1.63 | 100.00
13. 5.2024 | 10611.00 | 1.63 | 100.00
14. 5.2024 | 10612.63 | 1.63 | 100.00
15. 5.2024 | 10614.26 | 1.63 | 100.00
16. 5.2024 | 10715.89 | 1.65 | 100.00
17. 5.2024 | 10717.54 | 1.65 | 100.00
18. 5.2024 | 10719.18 | 1.65 | 100.00
19. 5.2024 | 10720.83 | 1.65 | 100.00
20. 5.2024 | 10722.48 | 1.65 | 100.00
21. 5.2024 | 10724.13 | 1.65 | 100.00
